Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
wallie-wall-drawer,Wallie wall drawer,"<p>Wallie wall drawer</p>
<p><strong>Dimensions:</strong> Length mm: 300.0mm, Width mm: 225.0mm, Height mm: 100.0mm</p>
<p><strong>Features:</strong></p>
<ul>
<li>Walnut veneer</li>
<li>plywood</li>
<li>metal</li>
</ul>",M&E Interior,Uncategory,furniture,furniture,FALSE,,,,,,,140172,3000,,,deny,manual,179.00,,FALSE,TRUE,5712800022667,https://presscloud.com/file/64/648514644681473/140172_WOUD_Wallie_walnut_1_exposed.jpg,1,Wallie wall drawer,FALSE,Wallie wall drawer,Wallie wall drawer,,,,,,,,g,,,,,,,,,draft
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/44/442162373424966/140172_WOUD_Wallie_walnut_2_exposed.jpg,2,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/29/296060312021255/140172_WOUD_Wallie_walnut_3.jpg,3,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/13/130723906712653/140172_WOUD_Wallie_walnut_4.jpg,4,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/63/631866244982948/WOUD_Lifestyle_2021_SS21_Wallie_walnut_1.jpg,5,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/20/208700897111809/WOUD_Lifestyle_2021_SS21_Wallie_walnut_2.jpg,6,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,Wallie wall drawer,"<p>Wallie wall drawer</p>
<p><strong>Dimensions:</strong> Length mm: 300.0mm, Width mm: 225.0mm, Height mm: 100.0mm</p>
<p><strong>Features:</strong></p>
<ul>
<li>Oak veneer</li>
<li>plywood</li>
<li>metal</li>
</ul>",M&E Interior,Uncategory,furniture,furniture,FALSE,,,,,,,140175,3000,,,deny,manual,169.00,,FALSE,TRUE,5712800032291,https://presscloud.com/file/21/213804683577315/WOUD_140175_Wallie_Grey_beigeoak_Exposed.jpg,1,Wallie wall drawer,FALSE,Wallie wall drawer,Wallie wall drawer,,,,,,,,g,,,,,,,,,draft
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/86/868340115254728/WOUD_140175_Wallie_Grey_beigeoak_2_Exposed.jpg,2,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/94/942590480501519/WOUD_140175_Wallie_Grey_beigeoak_3.jpg,3,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
wallie-wall-drawer,,,,,,,,,,,,,,,,,,,,,,,,,https://presscloud.com/file/45/452624849173196/WOUD_SS24_Wallie_Cono.jpg,4,Wallie wall drawer,,,,,,,,,,,,,,,,,,,,
